Unnamed: 0,id,prompt,url,width,height,source_site,similarity
371508,687c91c9-fedd-4364-9bb7-77e854e96355,"'A vintage radio with a digital display, set against a sunset backdrop featuring the Eiffel Tower. The scene is bathed in warm golden light, creating a nostalgic and serene atmosphere.'",https://image.lexica.art/full_jpg/687c91c9-fedd-4364-9bb7-77e854e96355,768,512,lexica.art,0.274422138929367
719813,cab1ec5d-d256-4b72-ba8c-9f3758284fe6,"'a large orange sculpture resembling a pumpkin with polka dots, placed on a pedestal in an urban setting with modern buildings in the background, bright daylight, vibrant colors, artistic style of Yayoi Kusama'",https://image.lexica.art/full_jpg/cab1ec5d-d256-4b72-ba8c-9f3758284fe6,512,768,lexica.art,0.2744186222553253
766953,d80f3eb4-f924-4fdf-b7c3-616d2111b1b4,"'cover of a Book of Shadows themed notebook. Include elements such as a book of shadows, candles, crystals, and other magical items. Use colors and fonts that reflect the witchy theme and create a cohesive and atmospheric design. You can also include illustrations or photographs of nature or other elements that are associated with the theme., hyper realistic, intricate detail'",https://image.lexica.art/full_jpg/d80f3eb4-f924-4fdf-b7c3-616d2111b1b4,1536,1024,lexica.art,0.2744183838367462
165641,2e9a1e85-01de-4005-a64b-70a66f7d95ae,"'Pope Benedict XVI in a grand cathedral, wearing his red zucchetto and white cassock, surrounded by ornate gold and red decorations, with soft natural light illuminating the scene, creating a solemn and reverent atmosphere.'",https://image.lexica.art/full_jpg/2e9a1e85-01de-4005-a64b-70a66f7d95ae,512,768,lexica.art,0.274418294429779
903143,fe9cfa06-c3e8-4554-925f-5624ebc5ae1f,"'warhammer character, epic, tragic, military art, fantasy, dieselpunk, hd shot, digital portrait, beautiful, artstation, comic style, by artgerm, guy denning, jakub rozalski, magali villeneuve and charlie bowater'",https://image.lexica.art/full_jpg/fe9cfa06-c3e8-4554-925f-5624ebc5ae1f,512,768,lexica.art,0.2744178175926208
511693,9008c8ee-b7da-4a12-9903-c0beb6f88f9b,"'A regal portrait of a king wearing a golden crown and a red sash, standing with arms crossed against a luxurious golden background. The image is rendered in a realistic style with intricate details and warm lighting, evoking a sense of grandeur and authority.'",https://image.lexica.art/full_jpg/9008c8ee-b7da-4a12-9903-c0beb6f88f9b,512,768,lexica.art,0.2744171321392059
802008,e1d9b2f0-de42-44be-a7f3-6eea027bd89b,"'A community organizer working for social justice, wearing a suit and tie, standing against a vibrant cityscape backdrop with modern buildings and a clear blue sky. The poster features bold typography and a professional yet approachable tone.'",https://image.lexica.art/full_jpg/e1d9b2f0-de42-44be-a7f3-6eea027bd89b,512,768,lexica.art,0.2744169235229492
73260,149c62e7-e159-41bb-a0f2-b9048c976166,"'dark gray stapler with metallic finish, modern design, compact size, easy to use, 20-sheet stapling capacity, high capacity staple magazine, non-slip base, adjustable stapling guide, easy to use on/off switch, low Staple and Staple Indicator Light, manufacturer's lifetime warranty'",https://image.lexica.art/full_jpg/149c62e7-e159-41bb-a0f2-b9048c976166,512,768,lexica.art,0.2744164168834686
697651,c473b6f4-c560-4da6-8ef2-63ca1eaa4097,"'full body portrait of a beautiful young female secretary, d & d, sleeveless turtleneck, pencil miniskirt, stockings, fantasy, flat lighting, intricate, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by simon bisley and greg rutkowski and alphonse mucha, natural",https://image.lexica.art/full_jpg/c473b6f4-c560-4da6-8ef2-63ca1eaa4097,512,768,lexica.art,0.274413913488388
750165,d355a6fb-bcdd-4691-985a-40335c3749bf,"'a gold medal with a star in the center, an orange ribbon, warm orange color tones background, stylized digital illustration, video game icon art style'",https://image.lexica.art/full_jpg/d355a6fb-bcdd-4691-985a-40335c3749bf,640,640,lexica.art,0.2744131684303283
