num,id,prompt,url,width,height,source_site
0,00000d0e-45cb-47b6-9f72-6a481e940d78,"A man waking up in a dark and still room, bathed in cinematic light from behind, casting dramatic shadows across his form. The sky outside is a striking contrast of deep red and vibrant blue, creating a surreal and misty atmosphere. The scene is reminiscent of Mikhail Vrubel's style, with a touch of Philippe Druillet's dynamic energy and Peter Elson's intricate details. The muted color palette enhances the mysterious and ethereal mood, while Gerald Brom's influence adds a sense of otherworldly beauty. The image is rendered with extreme detail, capturing every texture and shadow, and is trending on ArtStation, presented in an 8K resolution with high-quality rendering settings.",https://krea-prod-v1-generations.s3.us-east-1.amazonaws.com/images/00000d0e-45cb-47b6-9f72-6a481e940d78.png,512,512,stablediffusionweb.com
1,00001a8f-993f-4d69-8fd2-f7d69dc1e8ef,"A vibrant family of four is enjoying a sunny day on a luxurious yacht in the crystal-clear waters of the Caribbean Sea. The father and mother, both wearing stylish sunglasses and casual summer attire, are smiling warmly at the camera as they pose with their two children. A playful dolphin swims gracefully beside them, its sleek body reflecting the sunlight. The sky is a brilliant blue with a few wispy clouds, and the water sparkles under the warm sun, creating a serene and joyful atmosphere. The yacht's deck is visible in the background, adding to the luxurious feel of the scene.",https://image.lexica.art/full_jpg/00001a8f-993f-4d69-8fd2-f7d69dc1e8ef,640,640,lexica.art
2,00002cfc-8170-4a93-a1f8-aa5681cb5f71,"A group of friendly alien race individuals, each with unique, intricate designs and vibrant, glowing colors. The scene is set in a futuristic, otherworldly environment with dramatic lighting that highlights the metallic sheen and detailed textures of their skin and attire. The aliens have large, expressive eyes and elongated ears, exuding a sense of calm and curiosity. The background features a blend of warm and cool hues, creating a visually striking contrast. The overall style is hyper-realistic, rendered with high detail and clarity, using Unreal Engine for its advanced visual effects. The image is presented in 8K resolution, ensuring every element is sharp and vivid, and it's trending on ArtStation for its innovative and captivating design.",https://image.lexica.art/full_jpg/00002cfc-8170-4a93-a1f8-aa5681cb5f71,512,768,lexica.art
3,00004467-fdef-41bc-bc73-20c68444a024,"Theo James as Cyclops in a cyberpunk futuristic setting, wearing a full orange glass circular visor that covers his eyes, with a shaved face and short hair. He is depicted in a neon-lit environment with vibrant colors and dynamic lighting. The background features blurred lights and glowing neon lines, creating a high-tech, dystopian atmosphere. Detailed textures and realistic shading highlight the glossy surfaces of his outfit and the reflective visor. The artwork is signed by Ismail Inceoglu, Dragun Bibin, Hans Thoma, Greg Rutkowski, Alexandros Pyromallis, Nekro, and Rene Maritte, emphasizing the intricate and polished illustration style.",https://image.lexica.art/full_jpg/00004467-fdef-41bc-bc73-20c68444a024,512,768,lexica.art
4,000044ca-a4d7-46a2-81da-7ef3bf4cbeeb,"A portrait of a beautiful woman with long, flowing brown hair riding a vintage bicycle. She is wearing a white blouse, a teal skirt, and black leggings, accessorized with colorful bracelets and rings. The bicycle has a wicker basket attached to the front. The scene is set outdoors with soft, natural lighting, creating a serene and slightly dreamy atmosphere. The background features blurred greenery, suggesting a park or garden setting. The overall style is reminiscent of Vincent van Gogh's post-impressionist technique, with bold brushstrokes and vibrant colors.",https://image.lexica.art/full_jpg/000044ca-a4d7-46a2-81da-7ef3bf4cbeeb,512,768,lexica.art
5,0000463a-7eaa-4fa9-96d8-1f41f3e8dca4,"Create a high-resolution render of a bottle of 100% Whey Protein Professional by Athlete Pro Nutrition. The bottle should be prominently displayed on a wooden surface with a blurred background featuring warm, golden bokeh lights. The label should have bold, metallic gold and black text with a modern, sporty font. Include a small, reflective, dark-colored sports ball next to the bottle for added context. The overall lighting should be dramatic, with soft shadows and highlights emphasizing the texture of the bottle and the label. The scene should evoke a sense of energy and performance, typical of sports nutrition products.",https://image.lexica.art/full_jpg/0000463a-7eaa-4fa9-96d8-1f41f3e8dca4,512,768,lexica.art
6,000053e0-9a62-4b55-aecc-fa6886ab080c,"A surreal, cyberpunk-inspired interior scene featuring tall, distorted geometric columns reminiscent of ancient Roman architecture. The space is bathed in a warm, golden light that casts dramatic shadows, evoking the chiaroscuro technique. The walls are adorned with abstract, organic shapes that blend seamlessly into the environment, creating a sense of depth and mystery. The overall atmosphere is one of quiet contemplation and intrigue, with a touch of the fantastical. The image is rendered in a style that combines elements of Rene Magritte's dreamlike imagery, Didier Barra's architectural abstraction, and Johannes Vermeer's meticulous detail, all while incorporating a tilt-shift effect to enhance the three-dimensional feel. The color palette is dominated by earthy tones, with pops of vibrant yellow and green adding contrast and vibrancy.",https://krea-prod-v1-generations.s3.us-east-1.amazonaws.com/images/000053e0-9a62-4b55-aecc-fa6886ab080c.png,512,512,stablediffusionweb.com
8,00006e82-1243-495d-8f17-a63b77a25dc7,"A vibrant, surreal scene featuring Elon Musk in a desert landscape, holding a large bowl filled with golden corn kernels. He is enjoying a fresh ear of corn, with a joyful expression on his face. The background showcases rolling sand dunes under a clear blue sky, with lush green corn plants in the foreground. The lighting is bright and natural, highlighting the textures of the sand, corn, and Musk's attire. The overall mood is whimsical and playful, blending elements of reality with a touch of fantasy.",https://image.lexica.art/full_jpg/00006e82-1243-495d-8f17-a63b77a25dc7,512,768,lexica.art
9,00008e13-e862-45e3-810b-c0087f7b5968,"A bat with large, detailed wings, perched on the edge of a building at dusk. The bat's fur is a mix of dark brown and black, with a lighter underbelly. The setting sun casts a warm, golden glow on the bat and the building, creating long shadows and highlighting the intricate textures of the bat's fur and the architectural details of the building. The scene has a mysterious and slightly eerie atmosphere, with the bat appearing almost ethereal against the backdrop of the twilight sky.",https://image.lexica.art/full_jpg/00008e13-e862-45e3-810b-c0087f7b5968,512,768,lexica.art
10,000091e4-8396-4aaf-b2f4-c21abcc136cc,"A luxurious 3D-rendered bedroom featuring elegant gold and navy blue accents. The room has a sophisticated design with vertical striped wallpaper, a plush bed with a gold headboard, and matching gold armchairs. The ceiling is adorned with ornate chandeliers, and natural light streams through large windows draped with navy blue curtains. The floor is glossy, reflecting the warm lighting from the lamps and the ambient glow of the chandeliers. The overall mood is one of opulence and tranquility.",https://image.lexica.art/full_jpg/000091e4-8396-4aaf-b2f4-c21abcc136cc,768,512,lexica.art
